Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16
5G; Atendimento ao cliente; Banda larga; Cursos; Litígios; Presidency; Redes de computadores; System on a Chip (SoC); Trabalho;m;quipe;;;;;
Análise de causa raiz (RCA); Análise de falhas; Garantia de qualidade; JIRA; JUnit; Qualidade do produto; Root Cause; Teste de software; Testes de API; Testes manuais;;;;;;
Microsserviços;;;;;;;;;;;;;;;
C (linguagem de programação); C#; Criação de scripts; Engenharia; Garantia de qualidade; Gestão de projetos; Inglês; Instrução; Testes;;;;;;;
Angular (Framework); Banco de dados; CSS; Desenvolvimento de soluções; Documentação; Instrução; Java; Linguagens de programação; Litígios; Programação (computação);;;;;;
Apresentações; Apresentações técnicas; Arquitetura de soluções; Demonstrações; Espanhol; Inglês; Interface de programação de aplicativos (API); Redação de propostas; Síntese; Trabalho;m;quipe;;;;
Comércio; Derivativos; Economia; Finanças quantitativas; Matemática; Microsoft Excel; Trabalho;m;quipe; VBA (Visual Basic for Applications);;;;;;
.NET Core; .NET Framework; Angular (Framework); Desenvolvimento de back-end; Injeção de dependência; Logon único (SSO); REST (Transferência de;stado representacional ); RabbitMQ; SQL;;;;;;
Análise de causa raiz (RCA); Análise de falhas; Automação de QA; Garantia de qualidade; JIRA; JUnit; Qualidade do produto; Root Cause; Teste de software; Testes manuais;;;;;;
Angular (Framework); Benefícios de funcionários; Bootstrap; CSS; Controle de versão; Desenvolvimento de front-end; Desenvolvimento profissional; Promoção da inclusão; SASS; TypeScript;;;;;;
API REST; Apache Camel; Depuração; Desenvolvimento orientado ao comportamento; Inglês; Java; Multithreading; Murex; Servidor Apache; Spring Boot;;;;;;
Amazon Web Services; Docker; Git; JUnit; Java; MongoDB; Resolução de problemas; Spring Batch; Spring Boot; Spring Data; Spring Security;;;;;
Computação; Desenvolvimento de sistemas; Desenvolvimento de software; Desenvolvimento full stack; Inteligência de negócios (BI); Java; JavaScript; Python; Relatórios de indicadores-chave de desempenho (KPI); SQL;;;;;;
Componente da web; Componentes web do Lightning; Implementação do Salesforce.com; Resolução de problemas; SOAP; Salesforce.com; Setor de recrutamento; seleção; Skill Development; Visual Force;;;;;;
Definição de requisitos; Depuração; Engenharia de teste; Estratégias de crescimento; Feedback construtivo; Pensamento crítico; Planejamento de testes; Programação (computação); Requisitos de negócio; Solução de problemas técnicos;;;;;;
Aquisição de conhecimento; C++; Desenvolvimento de software; Inglês; Moldes de costura; Node.js; Padrões de design; React.js; Skill Development; XML;;;;;;
Angular (Framework); Banco de dados; Bancos de dados relacionais; CSS; Git; HTML5; MySQL; PHP; PostgreSQL; SQL;;;;;;
Automação; Ações corretivas; Elaboração de documentos; HSSE; Habilidades tecnológicas; Inglês; Registries; Requisitos de teste; Requisições; Trabalho;m;quipe;;;;
Box Cloud; Configuração de sistema; Histórias de usuários; Oracle Financials; PeopleSoft; Planejamento de testes; Quickness; Requisitos de negócio; Requisitos técnicos; Sistema de informação de recursos humanos (SIRH);;;;;;
Angular (Framework); Arquitetura de software; Desenvolvimento de front-end; Java; JavaScript; Lógica; Programação (computação); Programação lógica; Programação orientada a objetos (POO); TypeScript;;;;;;
Docker; Grafana; JavaScript; MongoDB; NoSQL; Node.js; Princípios de design; Skill Development; TypeScript; User Authentication;;;;;;
CSS; Comunicação; Inglês; JQuery; JSON; JavaScript; Node.js; SQL; Skill Development; Web Design Responsivo; XML;;;;;
Aquisição de conhecimento; C++; Desenvolvimento de software; Inglês; Moldes de costura; Node.js; Padrões de design; React.js; Skill Development; XML;;;;;;
Amazon Web Services; Angular (Framework); Codificação de front-end; Desenvolvimento de sistemas; Django; Documentação; Documentação técnica; JQuery; JavaScript; Python;;;;;;
Camada de Soquete Seguro (SSL); Diagramas de fluxo; Diagramas de fluxo de trabalho; Governança de identidade; JDBC; JSP (JavaServer Pages); OAuth; Protocolo de controle de transmissão (TCP); SSH; Servlets;;;;;;
Padrões de design;;;;;;;;;;;;;;;
.NET Framework; Active Server Pages (ASP); Análise de sistemas; Documentação; Documentação técnica; Habilidades analíticas; Metodologias Agile; Modelagem de dados; PL/SQL; Sonar;;;;;;
Aquisição de conhecimento; Conselho técnico; Definição de requisitos; Desenvolvimento de software; Feedback construtivo; Implantação de software; Job Skills; Levantamento de requisitos; Oficinas; Scoping Studies;;;;;;
.NET Framework; Arquitetura de integração; Atendimento ao cliente; BizAgi; Comunicação; Genesys Cloud; JavaScript; Metodologia; Pensamento sistêmico; Redação;;;;;;
Administração; Comunicação; Engenharia; Engenharia de produção; Ensino superior; Gestão logística; Indicadores-chave de desempenho; Liderança de;quipe; Linhas de produção; Operações de cadeia de fornecimento;;;;;
Amazon Elastic Container Registry (ECR); Inglês; NoSQL; Python;;;;;;;;;;;;
CSS; Desenvolvimento de front-end; Doutrina; Drupal; HTML; Inglês; Lado do servidor; Programação (computação); Programação orientada a objetos (POO); React.js;;;;;;
Docker; Grafana; JavaScript; MongoDB; NoSQL; Node.js; Princípios de design; Skill Development; TypeScript; User Authentication;;;;;;
Ambiance; Assinaturas; Docência; Finanças; Mercados financeiros; Publicações; Seguro de saúde; Seguros;;;;;;;;
ArtPro; Configuração de sistema; Definição de requisitos; Exigências regulatórias; Gestão de patches; Implementação SAP; Proactive Leadership; SAP Ariba; SAP ERP; Solução de problemas técnicos;;;;;;
Amazon Web Services; Boas práticas clínicas; Computação;m nuvem; DevOps; Google Cloud Platform (GCP); HashiCorp; Infraestrutura de nuvem; Pré-vendas; Terraform; Virtualização;;;;;
Gestão de manutenção; Liderança de;quipe; Manutenção; Manutenção; reparo; Proficiência;m informática; Ramos da;ngenharia; Requisições; Requisições de compras; Software de contabilidade; Trabalho;m;quipe
Amazon Web Services; Angular (Framework); Aplicativos web; Aprendizagem adaptativa; Customer Requirements; Definição de requisitos; Desenvolvimento de back-end; Design de frameworks; Development Work; Redação;;;;;;
SQL;;;;;;;;;;;;;;;
Análise forense; Aplicativos web; Aplicativos web;scalonáveis; Desenvolvimento de back-end; Desenvolvimento full stack; Inglês; Modelos de dados; Qualidade do produto; Stack; Tech Savy;;;;;
AWS Lambda; Amazon RDS; Banco de dados; Bancos de dados relacionais; Data lakes; Data warehouse; Modelagem de dados; Python; Qualidade dos dados; SQL;;;;;;
Definição de requisitos; Depuração; Engenharia de teste; Estratégias de crescimento; Feedback construtivo; Pensamento crítico; Planejamento de testes; Programação (computação); Requisitos de negócio; Solução de problemas técnicos;;;;;;
Análise de causa raiz (RCA); Análise de falhas; Garantia de qualidade; JIRA; JUnit; Qualidade do produto; Root Cause; Teste de software; Testes de API; Testes manuais;;;;;;
API de Web Services; Angular (Framework); Git; Google Cloud Platform (GCP); Google Kubernetes Engine (GKE); Hibernate; Java; RunDeck; Spring Boot; Spring Cloud;;;;;;
Building Performance; Definição de requisitos; HTML; Individual Behavior Plans (IBP); SQL; Windows Azure;;;;;;;;;;
Análise de causa raiz (RCA); Análise de falhas; Automação de QA; Garantia de qualidade; JIRA; JUnit; Qualidade do produto; Root Cause; Teste de software; Testes manuais;;;;;;
Desenvolvimento de plataformas; Habilidades analíticas; Inglês; Lightning; Oracle Application Express; Salesforce.com; Teste de unidade; Trabalho;m;quipe; Visual Force;;;;;
Análise forense; Aplicativos web; Aplicativos web;scalonáveis; Desenvolvimento de back-end; Desenvolvimento full stack; Inglês; Modelos de dados; Qualidade do produto; Stack; Tech Savy;;;;;
Análise de causa raiz (RCA); Análise de falhas; Garantia de qualidade; JIRA; JUnit; Qualidade do produto; Root Cause; Teste de software; Testes de API; Testes manuais;;;;;;
Angular (Framework); Buddy (Software); Design de interface do usuário; Inglês; Promoção da inclusão; Relatório; Serviços de TI; Skill Development; Trabalho;m;quipe;;;;;
CSS; Cálculos; Design automotivo; Documentação de;ngenharia; Documentação técnica; Inglês; Matlab; Regulamentações de conformidade; Simulações; Validação;;;;;
Análise forense; Aplicativos web; Aplicativos web;scalonáveis; Desenvolvimento de back-end; Desenvolvimento full stack; Inglês; Modelos de dados; Qualidade do produto; Stack; Tech Savy;;;;;
Angular (Framework); Análise de requisitos; Arquitetura de software; Bancos de dados relacionais; Bootstrap; Kanban; Metodologia; React Native; Servidor Apache; Subversion;;;;;;
Análise de investimentos; C (linguagem de programação); Cálculo; Engenharia de manufatura; Habilidades analíticas; Inglês; Instrução; Melhoria contínua; Promoção da inclusão; Resolução de problemas; Resolving Issues;;;;;
Apex Data Loader; Arquitetura MVC; Componentes web do Lightning; Consultoria;m Salesforce.com; Gestão de relacionamento com o cliente (CRM); Git; JavaScript; Oracle Application Express; RDBMS; Sales Cloud da Salesforce;;;;;
Aplicativos web; Babel.js; Clean Coding; Desenvolvimento de front-end; Ferramentas de compilação; Fios têxteis; Inglês; JavaScript; Webpack; npm (Gerenciador de Pacotes do Node);;;;;;
Babel.js; CSS; Desenvolvimento de front-end; GitHub; Gulp.js; HTML5; JavaScript; React.js; SASS; TypeScript;;;;;;
Aquisição de conhecimento; Arquitetura técnica; Conselho técnico; Definição de requisitos; Desenvolvimento de software; Implantação de software; Job Skills; Requisitos técnicos; Resolução de problemas; Solution Building;;;;;;
Amazon Web Services; Docker; JavaScript; NestJS; Next.js; Node.js; PostgreSQL; React.js; TypeScript;;;;;;;
Análise de negócios; Aplicativos web; Computação; Desenvolvimento de front-end; Gestão de projetos; Gestão de projetos internacionais; Inglês; Liderança de;quipe; Redação; Trabalho;m;quipe;;;
AWS CloudFormation; Amazon Web Services; DevOps; Inglês; JIRA; Kubernetes; Terraform;;;;;;;;;
Angular (Framework); CSS; Componente da web; Desenvolvimento de front-end; Desenvolvimento web; Design de frameworks; HTML; JavaScript; React.js; Vue.js;;;;;;
Angular (Framework); AngularJS; Buddy (Software); Design de interface do usuário; Inglês; Promoção da inclusão; Relatório; Serviços de TI; Skill Development; Trabalho;m;quipe;;;;
Desenvolvimento de carreira; Desenvolvimento profissional; Engenharia; Engenharia de projetos; Liderança de;quipe;;;;;;;;;;
Trabalho;m;quipe;;;;;;;;;;;;;
Arquitetura de software; C++; Design de software; Doutrina; Drupal; PHP; SOA (Arquitetura voltada para serviços); Subversion; UML (Linguagem de modelagem unificada); XML;;;;;;
PaaS (Plataforma como serviço);;;;;;;;;;;;;;;
Automação de QA; Ciclo de vida de defeitos; Ferramentas de automação de testes; Garantia de qualidade; Microsserviços; Padrões de design; Planejamento de testes; Programação (computação); Programação orientada a objetos (POO); Teste de regressão;;;;;;
Box Cloud; Configuração de sistema; Histórias de usuários; Oracle Financials; PeopleSoft; Planejamento de testes; Quickness; Requisitos de negócio; Requisitos técnicos; Sistema de informação de recursos humanos (SIRH);;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
