Automação, Automação de processos, Automação de testes, Design de sistemas de controle, Engenharia,létrica, Garantia de qualidade, Robot Framework, Robótica, Solução de problemas técnicos, Tia Portal da Siemens
Análise de logs, Automação de testes, Banco de dados, Bancos de dados relacionais, Cenários de testes, Cucumber, Planejamento de testes, Práticas de testes, Testes funcionais, Testes ágeis
Automação de testes, Ciência da computação, Comunicação, Desenvolvimento de software, DevOps, Docker, Engenharia de dados, Kubernetes, Python, Terraform
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Automação de testes, Ciência da computação, Comunicação, Desenvolvimento de software, DevOps, Docker, Engenharia de dados, Kubernetes, Python, Terraform
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
AWS CloudFormation, Amazon EC2, Amazon RDS, Amazon Web Services, Dimensionamento automático, Infraestrutura como código (IaC), Infraestrutura de nuvem, Inglês, Kubernetes, Terraform
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Automação de testes, Ciência da computação, Comunicação, Desenvolvimento de software, DevOps, Docker, Engenharia de dados, Kubernetes, Python, Terraform
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Apresentações, Comunicação, Desenvolvimento de sistemas, Desenvolvimento de software, Documentação técnica, GitOps, Go (Linguagem de programação), Python, Resolução de problemas, Sistemas distribuídos
Apresentações, Comunicação, Desenvolvimento de sistemas, Desenvolvimento de software, Documentação técnica, GitOps, Go (Linguagem de programação), Python, Resolução de problemas, Sistemas distribuídos
Airflow, Captura de dados de alterações, Conceitos de programação, Data Marts, Estratégias de otimização, Modelagem de dados, Otimização de consulta, Python, Snowflake, Snowflake Cloud
IPv4, Iptables, Kernel Linux, Máquina virtual baseada,m kernel, OpenShift, Protocolo UDP, Protocolo de controle de transmissão (TCP), Puppet (Software), Rede definida por software, Solução de problemas técnicos
Apache Camel, Container Orchestration, Cucumber, JDBC, JPA (Java Persistence API), Postman API, Redis, Spring Boot, Spring Data, Spring Framework
Apache Camel, Container Orchestration, Cucumber, JDBC, JPA (Java Persistence API), Postman API, Redis, Spring Boot, Spring Data, Spring Framework
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
CICS, COBOL, COBOL II, Filas, Fileaid, IMSDB, Mainframe, Processamento,m lote, Serena Changeman, VSAM
Administração de sistemas Linux, Desenvolvimento de software, DevOps, Doutrina, Inglês, MongoDB, NoSQL, PHP, Python, Redis
CICS, COBOL, COBOL II, Filas, Fileaid, IMSDB, Mainframe, Processamento,m lote, Serena Changeman, VSAM
Arquitetura MVC, Comunicação, Confiabilidade, JSON, JavaScript, Node.js, Padrões de codificação, Sprints, TypeScript, Webpack
CICS, COBOL, COBOL II, Filas, Fileaid, IMSDB, Mainframe, Processamento,m lote, Serena Changeman, VSAM
CICS, COBOL, COBOL II, Filas, Fileaid, IMSDB, Mainframe, Processamento,m lote, Serena Changeman, VSAM
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Ativos fixos, Comunicação, Gestão de projetos, Gestão ágil de projetos, ITIL, Inglês, Legacy System Migration Workbench (LSMW), Produtos SAP, SAP FI, SAP FICO
Agile Development, Arquitetura de sistema, C#, Coletor de lixo (informática), Desenvolvimento de back-end, Indicadores-chave de desempenho, Java, Lado do cliente, Scala, Sistemas distribuídos
Apache Spark, Big data, Ciência de dados, Engenharia de dados, Processamento de linguagem natural (PLN), PySpark, Reconhecimento de padrões, Scala, Sistema de recomendação, Visão computacional
Android Jetpack, C (linguagem de programação), Clean Coding, Habilidades analíticas, MVVM (Model-view-viewmodel), Marketing, Modelviewpresenter (MVP), Negociação, Objective-C, Swift (Linguagem de programação)
API REST, Desenvolvimento de API, Desenvolvimento de aplicativos, Desenvolvimento de front-end, Java, Microsserviços, NoSQL, SQL, Spring Boot, Spring Framework
API REST, Angular (Framework), Bitbucket, CSS, CSS Flexbox, Doutrina, Laravel, Microsserviços, PHP, Teste de unidade
Arquitetura MVC, Desenvolvimento de iOS, Design de interface do usuário, MVVM (Model-view-viewmodel), Microsserviços, Padrões de design, RxSwift, Swift (Linguagem de programação), Xcode, iOS
Administração de sistemas Linux, Desenvolvimento de software, DevOps, Doutrina, Inglês, MongoDB, NoSQL, PHP, Python, Redis
Android, Aplicativos móveis, Ciência da computação, Comunicação, Desenvolvimento Android, Desenvolvimento de aplicativos móveis, Desenvolvimento de iOS, Interface de programação de aplicativos (API), Kotlin, Teste de aceitação
C (linguagem de programação), Ciência da computação, Computação de alto desempenho, Comunicação, Desenvolvimento de iOS, Objective-C, Resolução de problemas, Swift (Linguagem de programação), UIKit, iOS
Banco de dados, CSS, Ciência da computação, Comunicação, Engenharia,létrica, Inglês, Microsoft Dynamics, Microsoft Dynamics 365, PostgreSQL, SQL
Banco de dados, CSS, Ciência da computação, Comunicação, Engenharia,létrica, Inglês, Microsoft Dynamics, Microsoft Dynamics 365, PostgreSQL, SQL
Administração de sistemas Linux, Desenvolvimento de software, DevOps, Doutrina, Inglês, MongoDB, NoSQL, PHP, Python, Redis
AWS CloudFormation, Amazon EC2, Amazon RDS, Amazon Web Services, Dimensionamento automático, Infraestrutura como código (IaC), Infraestrutura de nuvem, Inglês, Kubernetes, Terraform
Administração de sistemas Linux, Desenvolvimento de software, DevOps, Doutrina, Inglês, MongoDB, NoSQL, PHP, Python, Redis
Ciência da computação, Desenvolvimento de aplicativos móveis, Desenvolvimento de iOS, Design de,xperiência do usuário (UX), Design de interface do usuário, Experiência do usuário (UX), Princípios de design, Resolução de problemas, Swift (Linguagem de programação), iOS
Administração de sistemas Linux, Desenvolvimento de software, DevOps, Doutrina, Inglês, MongoDB, NoSQL, PHP, Python, Redis
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Agile Development, C#, Cassandra, Comunicação, Desenvolvimento de back-end, Desenvolvimento de software, Java, Padrões de codificação, Requisitos de negócio, Teste de aplicações
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Administração de sistemas Linux, Desenvolvimento de software, DevOps, Doutrina, Inglês, MongoDB, NoSQL, PHP, Python, Redis
Banco de dados Oracle, Desenvolvimento de front-end, Desenvolvimento de software, Inglês, Java, Metodologias Agile, RDBMS, SGBD, SQL, Scala
Ciência da computação, Desenvolvimento de aplicativos móveis, Desenvolvimento de iOS, Design de,xperiência do usuário (UX), Design de interface do usuário, Experiência do usuário (UX), Princípios de design, Resolução de problemas, Swift (Linguagem de programação), iOS
Ciência da computação, Desenvolvimento de aplicativos móveis, Desenvolvimento de iOS, Design de,xperiência do usuário (UX), Design de interface do usuário, Experiência do usuário (UX), Princípios de design, Resolução de problemas, Swift (Linguagem de programação), iOS
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Arquitetura de dados, Banco de dados, Data lakes, Data warehouse, Design de banco de dados, Engenharia de dados, Google Cloud Platform (GCP), Inglês, Modelagem de dados, Princípios de design
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
Android, Aplicativos móveis, Ciência da computação, Comunicação, Desenvolvimento Android, Desenvolvimento de aplicativos móveis, Desenvolvimento de iOS, Interface de programação de aplicativos (API), Kotlin, Teste de aceitação
Administração de sistemas Linux, Desenvolvimento de software, DevOps, Doutrina, Inglês, MongoDB, NoSQL, PHP, Python, Redis
Administração de sistemas Linux, Desenvolvimento de software, DevOps, Doutrina, Inglês, MongoDB, NoSQL, PHP, Python, Redis
Android, Ciência da computação, Computação de alto desempenho, Desenvolvimento Android, Desenvolvimento de aplicativos móveis, Design de,xperiência do usuário (UX), Design de interface do usuário, Kotlin, Princípios de design, Resolução de problemas
API REST, Desenvolvimento de back-end, Desenvolvimento de front-end, Desenvolvimento de software, Histórias de usuários, Java, Padrões de codificação, Spring Boot, Sprints, Timelines
Banco de dados, Desenvolvimento de API, Desenvolvimento de aplicativos, JUnit, Java, Microsserviços, NoSQL, Node.js, REST (Transferência de,stado representacional ), SQL
Android, Ciência da computação, Computação de alto desempenho, Desenvolvimento Android, Desenvolvimento de aplicativos móveis, Design de,xperiência do usuário (UX), Design de interface do usuário, Kotlin, Princípios de design, Resolução de problemas
Android, Ciência da computação, Computação de alto desempenho, Desenvolvimento Android, Desenvolvimento de aplicativos móveis, Design de,xperiência do usuário (UX), Design de interface do usuário, Kotlin, Princípios de design, Resolução de problemas
Ciclo de vida de sistemas de informação, Infraestrutura de nuvem, JUnit, Java, Nuvem híbrida, Realização de testes, Resolução de problemas, Responsividade, Serviços Web RESTful, Solução de problemas técnicos
Arquitetura de dados, Banco de dados, Engenharia de dados, Habilidades analíticas, Liderança de,quipe, Limpeza de dados, Manipulação de dados, Processamento de dados, Python, Windows Azure
ABAP, BADIs, Ciência da computação, Competências pessoais, sociais, OData, Produtos SAP, Requisitos de negócio, Requisitos técnicos, SAP Fiori, Saída de usuário
Capacidade de manutenção, Ciência da computação, Comunicação, Confiabilidade, Desenvolvimento de back-end, Desenvolvimento de front-end, Desenvolvimento de software, Garantia de qualidade, Google Cloud Platform (GCP), Superação de obstáculos
Ciclo de vida de sistemas de informação, Infraestrutura de nuvem, JUnit, Java, Nuvem híbrida, Realização de testes, Resolução de problemas, Responsividade, Serviços Web RESTful, Solução de problemas técnicos
Ciência da computação, Comunicação
Ciência da computação, Computação,m nuvem, D3.js, Desenvolvimento de front-end, Google Cloud Platform (GCP), Hotjar, Next.js, Redis, Stack, TypeScript
Comunicação, Desenvolvimento de front-end, Front-end Engineering, Gestão de,ngenharia, Liderança de,quipe, Liderança de,quipe multifuncional, Liderança técnica, React.js, Redux.js, TypeScript
Animação, CSS, Desenvolvimento de aplicativos móveis, Desenvolvimento de back-end, Design de interface do usuário, Experiência do usuário (UX), Inglês, JavaScript, React Native, React.js
Ciência da computação, Desenvolvimento de aplicativos móveis, Desenvolvimento de iOS, Design de,xperiência do usuário (UX), Design de interface do usuário, Experiência do usuário (UX), Princípios de design, Resolução de problemas, Swift (Linguagem de programação), iOS
Analítica, Análise de negócios, Banco de dados, Big data, ETL (Extração, transformação, carregamento), Engenharia de dados, Insights de negócios, Modelagem de dados, SQL, Tecnologias,mergentes
Ciência da computação, Desenvolvimento de software, JSON, Java, Multithreading, Programação (computação), Programação de rede, Protocolos de comunicação, SOAP, Sockets
Angular (Framework), CSS, Ciência da computação, Comunicação, Desenvolvimento de front-end, Documentos de design, GraphQL, HTTP (Hypertext Transfer Protocol), Mockups, TypeScript
Ciência da computação, Computação,m nuvem, D3.js, Desenvolvimento de front-end, Google Cloud Platform (GCP), Hotjar, Next.js, Redis, Stack, TypeScript
Ciência da computação, Desenvolvimento de aplicativos móveis, Desenvolvimento de iOS, Design de,xperiência do usuário (UX), Design de interface do usuário, Experiência do usuário (UX), Princípios de design, Resolução de problemas, Swift (Linguagem de programação), iOS
Administração de sistemas, Autenticação, Codificação segura, Controles de segurança, Criptografia, Desenvolvimento de software, Gestão de informações,,ventos de segurança, Modelagem de ameaças, OWASP, Segurança de aplicações
Agile Development, C (linguagem de programação), C#, Comunicação, Desenvolvimento de software, Java, Padrões de codificação, Requisitos de negócio, Scala, Teste de aplicações
Angular (Framework), AngularJS, Apache Maven, Banco de dados Oracle, Desenvolvimento full stack, Inglês, Java, Spring Framework
Android, Android Jetpack, Android Studio, CI, Desenvolvimento Android, Design de Android, GraphQL, Integração,,ntrega contínuas (CI/CD), Kotlin, Testes,nd-to-end
Apache Beam, Apache Flink, Ciência da computação, Computação,m nuvem, Comunicação, Infraestrutura como código (IaC), Infraestrutura de nuvem, Inglês, KMS, Terraform
.NET Framework, API de ASP.NET para Web, Atenção a detalhes, Banco de dados, Desenvolvimento de software, Entity Framework, Inglês, LINQ, React.js, Transact-SQL
Acesso, Angular (Framework), Ciência da computação, Computação, Definição de metas, Interface de programação de aplicativos (API), Kanban, Microsserviços, Métricas de desempenho, Trabalho,m,quipe
Desenvolvimento de back-end, Desenvolvimento web, Doutrina, Drupal, Functionality, MySQL, SQL, System Performance, Theming, Twig
Babel.js, CSS, Desenvolvimento de software, GatsbyJS, HTML, JavaScript, Modelo de objeto de documentos, React.js, Styled-components, Webpack
Babel.js, CSS, Desenvolvimento de software, GatsbyJS, HTML, JavaScript, Modelo de objeto de documentos, React.js, Styled-components, Webpack
Aprendizagem profunda, Ciência da computação, Ciência de dados, Code Generation, Desenvolvimento de software, Documentação, IA generativa, Inteligência artificial, Processamento de linguagem natural (PLN), Rede neural convolucional (CNN)
Desenvolvimento de back-end, Desenvolvimento web, Doutrina, Drupal, Functionality, MySQL, SQL, System Performance, Theming, Twig
Amazon Web Services, Avaliação de vulnerabilidades, Computação,m nuvem, Gerente certificado de segurança da informação, Gestão de vulnerabilidade, Hacking ético, Segurança da informação, Segurança de aplicações, Segurança de nuvem, Vulnerability
.NET Framework, Container Orchestration, Desenvolvimento de front-end, Desenvolvimento de software, Git, HTTP (Hypertext Transfer Protocol), Programação (computação), Programação orientada a objetos (POO), SQL, Sistemas operacionais
Big data, Ciência de dados, Engenharia de dados, Estatística, OTA, Processamento de linguagem natural (PLN), PySpark, Reconhecimento de padrões, Sistema de recomendação, Visão computacional
Administração de sistemas Linux, Arquitetura, Automação de infraestrutura, Container Orchestration, Design de templates, DevOps, Inglês, Templates, Visão de longo prazo, Windows Azure
Conteinerização, Depuração, Desenvolvimento de back-end, Doutrina, Java, Microsserviços, PHP, Redis, Resolução de problemas, Revisão de código
